id;timestamp;value;meter_port_id;created;last_modified
83170526;2015-09-21 03:01:51.027+02;6000;29;2015-09-21 03:01:51.125932+02;2015-09-21 03:01:51.125967+02
83170529;2015-09-21 03:01:51.349+02;708000;25;2015-09-21 03:01:51.539387+02;2015-09-21 03:01:51.539423+02
83170528;2015-09-21 03:01:51.349+02;46428978000;24;2015-09-21 03:01:51.457146+02;2015-09-21 03:01:51.45718+02
83170543;2015-09-21 03:01:59.517+02;24000;31;2015-09-21 03:01:59.621598+02;2015-09-21 03:01:59.621633+02
83170563;2015-09-21 03:02:11.024+02;137516000;28;2015-09-21 03:02:11.067312+02;2015-09-21 03:02:11.067347+02
83170565;2015-09-21 03:02:11.356+02;708000;25;2015-09-21 03:02:11.430703+02;2015-09-21 03:02:11.430737+02
83170577;2015-09-21 03:02:19.514+02;24000;31;2015-09-21 03:02:19.748867+02;2015-09-21 03:02:19.748903+02
83170576;2015-09-21 03:02:19.514+02;30253000;30;2015-09-21 03:02:19.700647+02;2015-09-21 03:02:19.700693+02
83170598;2015-09-21 03:02:31.353+02;709000;25;2015-09-21 03:02:31.427712+02;2015-09-21 03:02:31.427746+02
83170669;2015-09-21 03:02:35+02;169;1285;2015-09-21 03:03:15.768642+02;2015-09-21 03:03:15.768674+02
83170643;2015-09-21 03:02:59.519+02;24000;31;2015-09-21 03:02:59.638691+02;2015-09-21 03:02:59.638726+02
